--- QUERY ---
query: "hello"
top_k: 3
scores:
  doc_id: 8ed3f6ad685b959ead7022518e1af76cd816f8e8ec7ccdda1ed4018e8f2223f8
  score: 3286220702
  doc_id: be9d587defa1f0c09ef49eb17e206983a5f8f8289e4281860bd0ee5a19592c67
  score: 1381478841
  doc_id: f44e64e75f3948e9f73f8dfa94721c4ce8cbb4f265c4790c702b2d41cfbf2753
  score: 751130886
lifecycle_change: root_after=7b05b8802bc86c33bcbb950ec7d6eee84dd93295b2836b27742b76f2a6962601
snapshot_root: 76b88718004734bcea2859b5500b28a3c776847f10391121af7706ce0a8ca726
doc_merkle_root: 67b3693b59472455be69e796cf321708f7eb0336d2d55e36bd9a33268a75d0b8
delta_root: 6781266182ade807765e78c176db7f0536b1a295fe47f43480c37c490886fa1e
divergence_locator_root: cf48a376a92a5ca998cb3d446113390caf2cc0ec657802b755c124853b580b05
transcript_hash: 86aeb683d0e5f7bc53e35b576e5089b399cd3780dbadb38e5293e60b383e6bbd
